FileName,gh,rep,RPid,entry,genotype,DaysToAnthesis,Anthesis,FruitSetRipening,DaysToMaturity,DaysToHarvest,ht_1,ht1Age_days,ht_2,ht2Age_days,ht_harvest,Infl_L,Infl_W,Infl_Area,inflorescenceColor,inflorescenceShape,inflorescenceDensity,inflorescenceLeafiness,Moisture,Ash.14,Crude.Fat.14,Crude.Protein.14,Total.AA.14.mgG,Histidine.14.mgG,Isoleucine.14.mgG,Leucine.14.mgG,Lysine.14.mgG,SAA.14.mgG,AAA.14.mgG,Threonine.14.mgG,Tryptophan.14.mgG,Valine.14.mgG,Protein.14_Yield,Yield_g,TSW,totalSeeds,AvgArea_mm2,AvgEccentricity,TotalCount,sumRGB
1834B 1014,34B,1,34B_1,14,CHEN-349,57,15,55,127,141,48,35,65,41,201,48,10,480,13,1,3,1,7.489868797,2.975003865,4.539836072,14.56791087,852.7165116,27.85684383,39.22145791,58.4921639,53.20016587,38.08427666,67.71035445,29.95438713,10.23380044,43.18305403,0.287424881,1.973,2.252525253,875.9058296,2.306222986,0.361268864,594,431.9415479
1834B 1015,34B,1,34B_1,15,CHEN-420,59,15,53,127,141,37,35,51,41,140,30,10,300,13,1,3,1,7.244786377,2.638170692,3.900456874,11.38691148,889.2107991,27.50924245,39.03603957,59.02535167,52.28330708,39.80086227,69.40308031,31.60934887,10.52401266,43.71502688,0.190161422,1.67,1.822704082,916.2211337,2.122189862,0.343979827,784,428.5816868
1834B 1016,34B,1,34B_1,16,Baer-II,41,21,10,72,86,43,35,61,41,119,22,10,220,3,3,3,3,7.170433237,2.534315161,3.997236936,14.35559067,845.6806907,28.12215096,38.52112976,60.13929679,54.29900251,34.48285425,62.36831535,32.86820308,9.541505301,44.77631821,1.005609126,7.005,1.917900404,3652.431579,2.023510312,0.402625601,743,340.5419335
1834B 1017,34B,1,34B_1,17,D-12036,48,16,20,84,97,47,35,62,41,120,20,7,140,13,5,7,3,7.484723355,2.749290853,3.566832154,14.35725365,824.4278181,27.28362986,39.17343243,59.61930365,56.49151387,38.26246812,64.81187298,30.97803745,10.04079524,44.76015634,0.790653959,5.507,2.858223062,1926.721561,2.933215841,0.312984266,529,421.7419693
1834B 1018,34B,1,34B_1,18,Javi,46,12,14,72,86,47,35,65,41,124,23,15,345,13,3,5,3,7.532768131,2.507706468,3.995976313,15.40851532,806.8435397,27.03788981,39.02782709,58.68501023,54.99404306,37.08329418,63.02298801,31.02863411,9.931051477,43.98610633,1.386766379,9,3.398584906,2648.160999,3.293322224,0.327976007,424,402.5034163
1834B 1019,34B,1,34B_1,19,E-DK-4,46,12,14,72,86,42,35,66,41,107,14,22,308,5,3,3,3,7.227728045,2.361937627,3.547721919,13.40112616,828.2667313,27.59249642,38.74250598,59.20930678,56.66161896,36.08371893,62.5137891,32.68324459,9.679165512,44.6591547,1.392377008,10.39,2.669642857,3891.906355,2.718662957,0.333568337,560,324.7946622
1834B 1020,34B,1,34B_1,20,D-12205,49,15,63,127,141,31,35,46,41,137,33,9,297,13,1,3,1,7.685023364,2.858579251,4.813758607,16.62943847,819.8378419,28.239997,39.28756905,61.16786667,51.96054481,NA,66.42056632,30.10834253,NA,45.02941044,0.516011476,3.103,1.214960058,2553.993425,1.475606329,0.385783104,1377,384.4795665
1834B 1021,34B,1,34B_1,21,Ames-13734,52,10,39,101,88,45,35,67,41,161,33,7,231,13,3,5,5,NA,NA,NA,18.09019516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.231399585,6.807,2.963039014,2297.303534,2.724209444,0.343987091,487,387.8352545
1834B 1022,34B,1,34B_1,22,D-12420,51,21,29,101,116,45,35,60,41,137,40,7,280,13,3,1,1,7.686994451,2.406585902,4.58316466,14.19985985,838.0674198,27.75561775,39.66466232,60.53389874,51.52768685,38.9403772,68.23237524,31.17634415,9.688473365,45.88914619,0.662565461,4.666,1.480842912,3150.90815,1.557214524,0.379350705,1044,475.4387518
1834B 1023,34B,1,34B_1,23,D-12220,46,16,12,74,88,46,35,67,41,164,50,6,300,2,1,3,3,7.748853318,2.589123496,3.296352653,16.8750587,797.5597517,27.02387851,37.04140121,57.78464,51.15452421,NA,61.9128269,30.00038861,NA,44.13329724,0.832784147,4.935,1.83490566,2689.511568,1.915245312,0.340607414,848,294.7750893
1834B 1024,34B,1,34B_1,24,D-12345,52,12,47,111,125,42,35,61,41,179,60,9,540,13,1,1,1,7.742910806,2.891555532,4.820353621,15.64347378,807.7852375,27.03939101,39.11579782,61.22235051,50.99064774,37.73610657,66.13539351,30.14808191,9.675258048,45.31450642,0.628554776,4.018,2.304221252,1743.756159,2.402474939,0.311254099,687,413.4794191
1834B 1025,34B,1,34B_1,25,CHEN-424,53,17,41,111,126,46,35,61,41,144,43,8,344,13,3,1,1,7.27450055,2.64165028,4.962543587,15.01224931,821.4257493,27.70116725,39.13668002,60.56109043,51.10907527,35.52149876,64.14680596,30.99050375,9.865877797,44.57063709,0.808259503,5.384,2.265943012,2376.052695,2.404018575,0.285111371,737,419.8621191
1834B 1026,34B,1,34B_1,26,Indian Quinoa ,41,19,12,72,86,46,35,61,41,123,25,6,150,5,3,5,3,6.976407854,2.393405798,3.509239355,11.04897989,849.1356627,26.6788026,39.43005435,61.61855554,58.65204168,39.88325031,65.29320224,33.77334479,10.82050688,46.60085799,0.91220378,8.256,2.868739206,2877.919326,2.76348563,0.341294558,579,373.1604303
1834B 1027,34B,1,34B_1,27,CHEN-5,NA,NA,10,72,86,47,35,63,41,110,24,21,504,1,3,1,3,7.493034049,2.496522746,4.869456496,14.3670662,847.3959696,28.46145979,40.92925895,59.59869045,53.26522472,35.57616881,65.2167329,32.22188192,8.944169457,44.59716163,1.454665453,10.125,2.010204082,5036.80203,2.120348278,0.34245606,686,366.0087969
1834B 1028,34B,1,34B_1,28,D-12211,48,12,14,74,88,42,35,60,41,146,43,10,430,13,1,3,5,7.387223508,2.9558209,3.454635544,15.20393524,828.9445572,27.70594049,39.63442659,58.57991676,56.4235168,36.05013461,63.99466235,30.28790783,10.0902884,43.91850894,0.564674155,3.714,1.395740905,2660.95232,1.612292628,0.346241651,1127,373.9489293
1834B 1029,34B,1,34B_1,29,CHEN-160,43,15,16,74,88,41,35,58,41,104,30,9,270,13,3,5,3,7.364115764,2.689112172,3.674232862,13.88510382,842.7781201,27.79783539,40.2895303,61.16841182,53.63285167,36.20391607,65.84361405,32.40799512,9.86932751,45.65453441,0.896283452,6.455,1.997264022,3231.921233,1.955043675,0.326516567,731,428.4342722
1834B 1030,34B,1,34B_1,30,PUC-mix-red,50,12,10,72,86,40,35,53,41,110,20,13,260,3,3,5,5,7.095657934,2.699223488,3.644718879,13.11098432,834.4853631,26.80776275,40.04466417,59.80956568,57.57897672,38.14339018,63.89746098,32.10048784,9.807845257,44.64345255,0.915277815,6.981,2.808383234,2485.771855,2.673158185,0.365953291,501,378.5013884
1834B 1031,34B,1,34B_1,31,PI-614887,50,12,39,101,88,25,35,64,41,131,18,8,144,13,3,5,5,7.188042008,2.475887369,4.343761814,14.37489137,831.8101942,27.50650141,39.90172091,59.91830192,54.67431395,37.33414327,64.45397943,32.53821175,9.35087759,45.39562403,1.354546014,9.423,2.915289256,3232.269313,2.70951556,0.373860621,484,373.3717997
