"","Yield_g","TSW","Lysine.14.mgG"
"94",8.373,2.547752809,56.28541196
"95",8.211,1.836294416,52.89941857
"96",8.485,3.199541284,57.27547498
"97",9.121,1.807159353,53.09648659
"98",8.205,2.474302496,56.01119321
"99",6.086,2.146842878,57.6952227
"100",9.417,1.833675565,53.32179794
"101",5.387,2.75,54.99460541
"102",5.074,3.277078086,54.91577169
"103",6.999,2.775793651,56.22916617
"104",4.233,3.013157895,53.15878724
"105",8.325,2.599078341,55.24464212
"106",3.171,2.82278481,52.46781168
"107",5.226,1.689940828,57.47712679
"108",6.625,2.108603667,54.13221036
"109",10.621,3.129541864,54.46286279
"110",4.912,2.067400275,50.75821449
"111",8.195,1.68,53.40556036
"112",3.91,2.038944724,53.7424127
"113",8.305,2.966403162,63.4641846
"114",5.788,2.917491749,55.73732263
"115",1.358,2.102167183,56.09711257
"116",4.909,2.943014706,53.80379707
"117",4.163,3.344262295,51.62106871
"118",9.562,3.2079566,57.17428429
"119",7.613,3.423529412,56.84407676
"120",8.997,2.125344353,55.97855226
"121",0.671,1.768211921,53.07068295
"122",5.587,1.835,55.89983171
"123",8.025,3.355731225,57.13689643
"124",5.489,3.919168591,56.85156123
"125",3.34,2.409385113,51.90930028
"126",8.769,3.016245487,62.19223575
"127",6.93,3.151589242,52.65881599
"128",11.025,1.989690722,53.13977612
"129",1.35,1.572609209,53.0018102
"130",6.216,2.447706422,55.53872848
"131",5.19,2.294520548,52.97437092
"132",4.302,1.793397231,52.93685435
"133",7.562,3.035335689,57.28174512
"134",0.183,1.832335329,55.02340608
"135",11.844,3.485416667,57.27652802
"136",6.38,4.253602305,55.45635992
"137",12.041,2.649923896,53.63461736
"138",4.951,2.936507937,51.62767712
"139",7.611,3.128514056,58.00907401
"140",4.716,3.880434783,52.73748821
"141",10.423,3.28358209,56.33762374
"142",4.655,2.421779141,52.13716167
"143",5.556,2.482269504,53.59503514
"144",2.645,1.691722169,55.07977079
"145",3.531,2.090540541,52.91709203
"146",4.725,3.601769912,57.64872964
"147",9.657,3.068571429,58.41395182
"148",7.231,2.97556719,52.84705061
"149",5.739,2.029490617,51.25225607
"150",4.115,2.016736402,55.99763982
"151",2.674,2.930184805,56.04300836
"152",4.303,2.202200825,50.71187878
"153",3.722,4.161290323,52.53651403
"154",4.623,2.846017699,53.19515946
"155",8.157,2.972920696,52.87303478
"156",5.605,2.811950791,54.06634544
"157",2.37,2.888288288,55.482378
"158",2.66,3.023255814,54.55256784
"159",7.458,1.780567686,46.58629794
"160",6.252,2.786692759,59.27437487
"161",4.548,2.479651163,56.12875874
"162",4.324,2.689368771,52.95973827
"163",4.949,2.043370508,52.8592024
"164",2.46,2.785123967,54.62714749
"165",5.853,2.039113429,56.71996873
"166",5.483,2.060422961,51.28718484
"167",4.926,1.741489362,54.65909479
"168",5.956,1.901754386,50.43099548
"169",8.875,3.146473779,56.60015773
"170",3.612,1.560041408,50.94799303
"171",3.194,3.154545455,58.15333093
"172",7.702,2.5,59.44894109
"173",10.969,3.140786749,57.8412792
"174",5.006,3.265882353,53.11740019
"175",7.121,3.007936508,54.09526703
"176",8.382,2.793706294,60.04524432
"177",5.769,2.754098361,52.88903207
"178",4.231,3.960960961,56.63638208
"179",9.43,3.232421875,49.92557518
"180",11.471,3.150537634,59.86195501
"181",6.37,2.338006231,56.03466035
"182",4.235,1.914586071,53.17074799
"183",3.919,4.19941349,59.78090427
"184",6.339,1.927083333,54.25605658
